Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,97;Senador José Porfírio ;PA;1507805
Naturalizados brasileiros;0;Senador José Porfírio ;PA;1507805
Estrangeiros;0,03;Senador José Porfírio ;PA;1507805
