Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Carauari ;AM;1301001
Naturalizados brasileiros;0,05;Carauari ;AM;1301001
Estrangeiros;0;Carauari ;AM;1301001
