Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Quatipuru ;PA;1506112
Proteção integral;-;-;Quatipuru ;PA;1506112
Proteção integral e uso sustentável;-;-;Quatipuru ;PA;1506112
