Lugar;Pessoas;Município;Sigla UF;Código do Município
Rio de Janeiro;29;Marapanim ;PA;1504406
Amapá;21;Marapanim ;PA;1504406
Ceará;21;Marapanim ;PA;1504406
Maranhão;14;Marapanim ;PA;1504406
Paraná;10;Marapanim ;PA;1504406
Amazonas;9;Marapanim ;PA;1504406
São Paulo;6;Marapanim ;PA;1504406
