Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Santarém Novo ;PA;1506906
Naturalizados brasileiros;0;Santarém Novo ;PA;1506906
Estrangeiros;0;Santarém Novo ;PA;1506906
