Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;16411;Portel ;PA;1505809
1980;43158;Portel ;PA;1505809
1991;29452;Portel ;PA;1505809
2000;38043;Portel ;PA;1505809
2010;52172;Portel ;PA;1505809
2022;62503;Portel ;PA;1505809
