Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;São João de Pirabas ;PA;1507474
Naturalizados brasileiros;0;São João de Pirabas ;PA;1507474
Estrangeiros;0;São João de Pirabas ;PA;1507474
