Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;950;100,00;São Caetano de Odivelas ;PA;1507102
Proteção integral;0;0;São Caetano de Odivelas ;PA;1507102
Proteção integral e uso sustentável;0;0;São Caetano de Odivelas ;PA;1507102
