Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Vitória do Xingu ;PA;1508357
1980;;Vitória do Xingu ;PA;1508357
1991;;Vitória do Xingu ;PA;1508357
2000;11142;Vitória do Xingu ;PA;1508357
2010;13431;Vitória do Xingu ;PA;1508357
2022;15607;Vitória do Xingu ;PA;1508357
