Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Curuçá ;PA;1502905
Naturalizados brasileiros;0;Curuçá ;PA;1502905
Estrangeiros;0;Curuçá ;PA;1502905
