Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;São Francisco do Pará ;PA;1507409
Porcentagem da população que reside em Unidades de Conservação;Não há;São Francisco do Pará ;PA;1507409
