Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Juruá ;AM;1302207
Naturalizados brasileiros;0;Juruá ;AM;1302207
Estrangeiros;0;Juruá ;AM;1302207
