Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,90;Brasil Novo ;PA;1501725
Naturalizados brasileiros;0,10;Brasil Novo ;PA;1501725
Estrangeiros;0;Brasil Novo ;PA;1501725
