Lugar;Pessoas;Município;Sigla UF;Código do Município
Acre;386;Envira ;AM;1301506
Mato Grosso;54;Envira ;AM;1301506
São Paulo;34;Envira ;AM;1301506
Ceará;8;Envira ;AM;1301506
Paraná;1;Envira ;AM;1301506
Exterior;1;Envira ;AM;1301506
