Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;3991;Santarém Novo ;PA;1506906
1980;4772;Santarém Novo ;PA;1506906
1991;4486;Santarém Novo ;PA;1506906
2000;5434;Santarém Novo ;PA;1506906
2010;6141;Santarém Novo ;PA;1506906
2022;6116;Santarém Novo ;PA;1506906
