Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Serra do Navio ;AP;1600055
1980;;Serra do Navio ;AP;1600055
1991;;Serra do Navio ;AP;1600055
2000;3293;Serra do Navio ;AP;1600055
2010;4380;Serra do Navio ;AP;1600055
2022;4673;Serra do Navio ;AP;1600055
