Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Uruará ;PA;1508159
1980;;Uruará ;PA;1508159
1991;25339;Uruará ;PA;1508159
2000;45201;Uruará ;PA;1508159
2010;44789;Uruará ;PA;1508159
2022;43558;Uruará ;PA;1508159
