Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,88;Salinópolis ;PA;1506203
Naturalizados brasileiros;0;Salinópolis ;PA;1506203
Estrangeiros;0,12;Salinópolis ;PA;1506203
