Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,80;Uarini ;AM;1304260
Naturalizados brasileiros;0,10;Uarini ;AM;1304260
Estrangeiros;0,10;Uarini ;AM;1304260
