Lugar;Pessoas;Município;Sigla UF;Código do Município
Exterior;52;Assis Brasil ;AC;1200054
Amazonas;38;Assis Brasil ;AC;1200054
Minas Gerais;14;Assis Brasil ;AC;1200054
Rondônia;12;Assis Brasil ;AC;1200054
Rio de Janeiro;11;Assis Brasil ;AC;1200054
Ceará;4;Assis Brasil ;AC;1200054
Paraná;4;Assis Brasil ;AC;1200054
Mato Grosso;3;Assis Brasil ;AC;1200054
Rio Grande do Norte;2;Assis Brasil ;AC;1200054
