Lugar;Pessoas;Município;Sigla UF;Código do Município
Acre;17;Itamarati ;AM;1301951
São Paulo;8;Itamarati ;AM;1301951
Pará;2;Itamarati ;AM;1301951
Minas Gerais;2;Itamarati ;AM;1301951
