Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;0;0;Salinópolis ;PA;1506203
Proteção integral;106;100,00;Salinópolis ;PA;1506203
Proteção integral e uso sustentável;0;0;Salinópolis ;PA;1506203
