Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;4387;100,00;Macapá ;AP;1600303
Proteção integral;0;0;Macapá ;AP;1600303
Proteção integral e uso sustentável;0;0;Macapá ;AP;1600303
