Lugar;Pessoas;Município;Sigla UF;Código do Município
Amazonas;40;Capixaba ;AC;1200179
São Paulo;9;Capixaba ;AC;1200179
Rondônia;8;Capixaba ;AC;1200179
Exterior;7;Capixaba ;AC;1200179
Mato Grosso;4;Capixaba ;AC;1200179
