Lugar;Pessoas;Município;Sigla UF;Código do Município
Goiás;10;Santarém Novo ;PA;1506906
Mato Grosso;9;Santarém Novo ;PA;1506906
São Paulo;6;Santarém Novo ;PA;1506906
Rio de Janeiro;4;Santarém Novo ;PA;1506906
