Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;503;Pedra Branca do Amapari ;AP;1600154
Porcentagem da população que reside em Unidades de Conservação;3,92;Pedra Branca do Amapari ;AP;1600154
