Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Bonito ;PA;1501600
Naturalizados brasileiros;0;Bonito ;PA;1501600
Estrangeiros;0;Bonito ;PA;1501600
