Lugar;Pessoas;Município;Sigla UF;Código do Município
Minas Gerais;37;Colares ;PA;1502608
Amapá;32;Colares ;PA;1502608
Santa Catarina;18;Colares ;PA;1502608
Amazonas;16;Colares ;PA;1502608
São Paulo;14;Colares ;PA;1502608
Maranhão;8;Colares ;PA;1502608
Pernambuco;6;Colares ;PA;1502608
Goiás;6;Colares ;PA;1502608
