Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,68;Acrelândia ;AC;1200013
Naturalizados brasileiros;0,29;Acrelândia ;AC;1200013
Estrangeiros;0,04;Acrelândia ;AC;1200013
