Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;São João da Ponta ;PA;1507466
Naturalizados brasileiros;0;São João da Ponta ;PA;1507466
Estrangeiros;0;São João da Ponta ;PA;1507466
