Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Magalhães Barata ;PA;1504109
Naturalizados brasileiros;0;Magalhães Barata ;PA;1504109
Estrangeiros;0;Magalhães Barata ;PA;1504109
