Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,73;Itaubal ;AP;1600253
Naturalizados brasileiros;0;Itaubal ;AP;1600253
Estrangeiros;0,27;Itaubal ;AP;1600253
