Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Senador Guiomard ;AC;1200450
Naturalizados brasileiros;0;Senador Guiomard ;AC;1200450
Estrangeiros;0,05;Senador Guiomard ;AC;1200450
