Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,90;Bragança ;PA;1501709
Naturalizados brasileiros;0,01;Bragança ;PA;1501709
Estrangeiros;0,09;Bragança ;PA;1501709
