Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Peixe-Boi ;PA;1505601
Proteção integral;-;-;Peixe-Boi ;PA;1505601
Proteção integral e uso sustentável;-;-;Peixe-Boi ;PA;1505601
