Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Santana ;AP;1600600
1980;;Santana ;AP;1600600
1991;51451;Santana ;AP;1600600
2000;80439;Santana ;AP;1600600
2010;101262;Santana ;AP;1600600
2022;107618;Santana ;AP;1600600
