Lugar;Pessoas;Município;Sigla UF;Código do Município
Rondônia;131;Senador Guiomard ;AC;1200450
Amazonas;98;Senador Guiomard ;AC;1200450
Pará;60;Senador Guiomard ;AC;1200450
Paraná;39;Senador Guiomard ;AC;1200450
Alagoas;20;Senador Guiomard ;AC;1200450
Mato Grosso;14;Senador Guiomard ;AC;1200450
Ceará;11;Senador Guiomard ;AC;1200450
Minas Gerais;10;Senador Guiomard ;AC;1200450
Rio de Janeiro;10;Senador Guiomard ;AC;1200450
