Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,72;Rio Branco ;AC;1200401
Naturalizados brasileiros;0,11;Rio Branco ;AC;1200401
Estrangeiros;0,18;Rio Branco ;AC;1200401
