Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Tracuateua ;PA;1508035
Naturalizados brasileiros;0;Tracuateua ;PA;1508035
Estrangeiros;0;Tracuateua ;PA;1508035
