Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Alvarães ;AM;1300029
1980;;Alvarães ;AM;1300029
1991;8487;Alvarães ;AM;1300029
2000;12150;Alvarães ;AM;1300029
2010;14088;Alvarães ;AM;1300029
2022;15866;Alvarães ;AM;1300029
