2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
11896;9503;Branca;Uruará ;PA;1508159
3325;4409;Preta;Uruará ;PA;1508159
459;11;Amarela;Uruará ;PA;1508159
29071;29535;Parda;Uruará ;PA;1508159
38;100;Indígena;Uruará ;PA;1508159
