Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;14229;São Caetano de Odivelas ;PA;1507102
1980;20926;São Caetano de Odivelas ;PA;1507102
1991;21126;São Caetano de Odivelas ;PA;1507102
2000;15595;São Caetano de Odivelas ;PA;1507102
2010;16891;São Caetano de Odivelas ;PA;1507102
2022;16666;São Caetano de Odivelas ;PA;1507102
