Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,80;Altamira ;PA;1500602
Naturalizados brasileiros;0,13;Altamira ;PA;1500602
Estrangeiros;0,07;Altamira ;PA;1500602
