Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,91;Xapuri ;AC;1200708
Naturalizados brasileiros;0,03;Xapuri ;AC;1200708
Estrangeiros;0,06;Xapuri ;AC;1200708
