Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;13327;Xapuri ;AC;1200708
1980;14687;Xapuri ;AC;1200708
1991;12366;Xapuri ;AC;1200708
2000;11956;Xapuri ;AC;1200708
2010;16091;Xapuri ;AC;1200708
2022;18243;Xapuri ;AC;1200708
