Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;1770;Epitaciolândia ;AC;1200252
Porcentagem da população que reside em Unidades de Conservação;9,44;Epitaciolândia ;AC;1200252
