2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
3610;3380;Branca;Porto Grande ;AP;1600535
1156;1711;Preta;Porto Grande ;AP;1600535
221;39;Amarela;Porto Grande ;AP;1600535
11793;12690;Parda;Porto Grande ;AP;1600535
29;28;Indígena;Porto Grande ;AP;1600535
