Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,59;Serra do Navio ;AP;1600055
Naturalizados brasileiros;0,06;Serra do Navio ;AP;1600055
Estrangeiros;0,34;Serra do Navio ;AP;1600055
