Lugar;Pessoas;Município;Sigla UF;Código do Município
Rondônia;168;Porto Acre ;AC;1200807
Amazonas;141;Porto Acre ;AC;1200807
Mato Grosso;33;Porto Acre ;AC;1200807
Pará;10;Porto Acre ;AC;1200807
Ceará;9;Porto Acre ;AC;1200807
Bahia;7;Porto Acre ;AC;1200807
Paraná;6;Porto Acre ;AC;1200807
Minas Gerais;5;Porto Acre ;AC;1200807
Mato Grosso do Sul;5;Porto Acre ;AC;1200807
Exterior;2;Porto Acre ;AC;1200807
