Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;São João da Ponta ;PA;1507466
1980;;São João da Ponta ;PA;1507466
1991;;São João da Ponta ;PA;1507466
2000;4035;São João da Ponta ;PA;1507466
2010;5265;São João da Ponta ;PA;1507466
2022;4430;São João da Ponta ;PA;1507466
