Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;1259;100,00;Curuçá ;PA;1502905
Proteção integral;0;0;Curuçá ;PA;1502905
Proteção integral e uso sustentável;0;0;Curuçá ;PA;1502905
