Grupo de idade;Percentual;Município;Sigla UF;Código do Município
Total;98,21;Senador Guiomard ;AC;1200450
Menos de 1 ano;93,83;Senador Guiomard ;AC;1200450
1 ano;98,48;Senador Guiomard ;AC;1200450
2 a 5 anos;99,09;Senador Guiomard ;AC;1200450
