Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;174;100,00;Ferreira Gomes ;AP;1600238
Proteção integral;0;0;Ferreira Gomes ;AP;1600238
Proteção integral e uso sustentável;0;0;Ferreira Gomes ;AP;1600238
