Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;63;Santa Maria do Pará ;PA;1506609
Mato Grosso;34;Santa Maria do Pará ;PA;1506609
Amazonas;29;Santa Maria do Pará ;PA;1506609
Ceará;19;Santa Maria do Pará ;PA;1506609
Goiás;17;Santa Maria do Pará ;PA;1506609
Bahia;11;Santa Maria do Pará ;PA;1506609
Amapá;8;Santa Maria do Pará ;PA;1506609
Rio de Janeiro;5;Santa Maria do Pará ;PA;1506609
Santa Catarina;5;Santa Maria do Pará ;PA;1506609
