Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Santa Maria do Pará ;PA;1506609
Porcentagem da população que reside em Unidades de Conservação;Não há;Santa Maria do Pará ;PA;1506609
