Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Senador Guiomard ;AC;1200450
Porcentagem da população que reside em Unidades de Conservação;Não há;Senador Guiomard ;AC;1200450
