Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;3038;100,00;Maracanã ;PA;1504307
Proteção integral;0;0;Maracanã ;PA;1504307
Proteção integral e uso sustentável;0;0;Maracanã ;PA;1504307
