Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;São João de Pirabas ;PA;1507474
Porcentagem da população que reside em Unidades de Conservação;Não há;São João de Pirabas ;PA;1507474
