Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;726;100,00;Ipixuna ;AM;1301803
Proteção integral;0;0;Ipixuna ;AM;1301803
Proteção integral e uso sustentável;0;0;Ipixuna ;AM;1301803
