Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,84;Macapá ;AP;1600303
Naturalizados brasileiros;0,11;Macapá ;AP;1600303
Estrangeiros;0,05;Macapá ;AP;1600303
