Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Portel ;PA;1505809
Naturalizados brasileiros;0;Portel ;PA;1505809
Estrangeiros;0;Portel ;PA;1505809
