Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,87;Vitória do Xingu ;PA;1508357
Naturalizados brasileiros;0,03;Vitória do Xingu ;PA;1508357
Estrangeiros;0,10;Vitória do Xingu ;PA;1508357
