Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Igarapé-Açu ;PA;1503200
Porcentagem da população que reside em Unidades de Conservação;Não há;Igarapé-Açu ;PA;1503200
