Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;2113;85,89;Altamira ;PA;1500602
Proteção integral;347;14,11;Altamira ;PA;1500602
Proteção integral e uso sustentável;0;0;Altamira ;PA;1500602
